Symbol,Exchange,Sector,Industry
BIOA-B,ST,Health technology,Pharmaceuticals: major
BIOT,ST,Health technology,Medical specialties
BMW,XETRA,Consumer durables,Motor vehicles
BN,PA,Consumer non-durables,Food: meat/fish/dairy
BNP,PA,Finance,Regional banks
BNR,XETRA,Distribution services,Wholesale distributors
BO,CO,Consumer durables,Electronics/Appliances
BOL,PA,Consumer services,Publishing: books/magazines
BOL,ST,Non-energy minerals,Other metals/Minerals
BONAV-B,ST,Finance,Real estate development
BOSS,XETRA,Consumer non-durables,Apparel/Footwear
BRAV,ST,Industrial services,Engineering & construction
BRE2,ST,Communications,Major telecommunications
